Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Michael Finley,SF,24,DAL,82,82,41.4,8.2,18.4,0.449,1.1,3,0.357,7.2,15.4,0.466,0.477,4,5.1,0.784,1.8,3.5,5.3,4.9,1.6,0.4,2.7,2,21.5
2,Glenn Robinson,SF,25,MIL,56,56,41,9.5,20.3,0.47,0.4,1.2,0.385,9.1,19.1,0.475,0.481,3.8,4.8,0.808,1.5,4,5.5,2.8,1.2,0.6,3.6,2.9,23.4
3,Grant Hill*,SF,25,DET,81,81,40.7,7.6,16.8,0.452,0,0.3,0.143,7.6,16.5,0.457,0.453,5.9,8,0.74,1.1,6.5,7.7,6.8,1.8,0.7,3.5,2.4,21.1
4,Glen Rice,SF,30,CHH,82,82,40.2,7.7,16.9,0.457,1.6,3.7,0.433,6.1,13.2,0.464,0.504,5.2,6.1,0.849,1.1,3.2,4.3,2.2,0.9,0.3,2.2,2.4,22.3
5,Ray Allen*,SG,22,MIL,82,82,40.1,6.9,16,0.428,1.6,4.5,0.364,5.2,11.5,0.453,0.479,4.2,4.8,0.875,1.5,3.4,4.9,4.3,1.4,0.1,3.2,3,19.5
6,Juwan Howard,PF,24,WAS,64,64,40,7.2,15.5,0.467,0,0,0,7.2,15.5,0.468,0.467,4,5.6,0.721,2.5,4.5,7,3.3,1.3,0.4,2.9,3.5,18.5
7,Damon Stoudamire,PG,24,TOT,71,71,40,6.3,15.4,0.411,1.3,4.3,0.299,5,11.1,0.454,0.452,3.4,4,0.829,1.2,3,4.2,8.2,1.6,0.1,3.1,2.1,17.3
8,Antoine Walker,PF,21,BOS,82,82,39.9,8.8,20.8,0.423,1.1,3.6,0.312,7.7,17.2,0.447,0.45,3.7,5.8,0.645,3.3,6.9,10.2,3.3,1.7,0.7,3.6,3.2,22.4
9,Rod Strickland,PG,31,WAS,76,76,39.7,6.4,14.9,0.434,0.2,0.6,0.25,6.3,14.2,0.442,0.439,4.7,6.5,0.726,1.5,3.9,5.3,10.5,1.7,0.3,3.5,2.4,17.8
10,Chris Webber*,C,24,WAS,71,71,39.6,9.1,18.9,0.482,0.9,2.9,0.317,8.2,16,0.512,0.507,2.8,4.7,0.589,2.5,7,9.5,3.8,1.6,1.7,2.6,3.8,21.9
11,Allen Iverson*,PG,22,PHI,80,80,39.4,8.1,17.6,0.461,0.9,2.9,0.298,7.2,14.7,0.494,0.486,4.9,6.7,0.729,1.1,2.6,3.7,6.2,2.2,0.3,3.1,2.5,22
12,Kevin Garnett*,PF,21,MIN,82,82,39.3,7.7,15.8,0.491,0,0.2,0.188,7.7,15.6,0.495,0.492,3,4,0.738,2.7,6.9,9.6,4.2,1.7,1.8,2.3,2.7,18.5
13,Tim Duncan*,PF,21,SAS,82,82,39.1,8.6,15.7,0.549,0,0.1,0,8.6,15.6,0.553,0.549,3.9,5.9,0.662,3.3,8.6,11.9,2.7,0.7,2.5,3.4,3.1,21.1
14,Steve Smith,SG,28,ATL,73,73,39.1,6.7,15.1,0.444,1.3,3.8,0.351,5.4,11.3,0.475,0.488,5.3,6.2,0.855,1.8,2.4,4.2,4,1,0.4,2.4,3,20.1
15,Latrell Sprewell,SG,27,GSW,14,13,39.1,7.9,19.8,0.397,0.6,3.4,0.188,7.2,16.4,0.441,0.413,5,6.7,0.745,0.5,3.1,3.6,4.9,1.4,0.4,3.1,1.9,21.4
16,Wesley Person,SG,26,CLE,82,82,39,5.4,11.7,0.46,2.3,5.5,0.43,3,6.2,0.486,0.56,1.6,2.1,0.776,0.8,3.6,4.4,2.3,1.6,0.6,1.3,1.3,14.7
17,Anthony Mason,PF,31,CHH,81,80,38.9,4.8,9.4,0.509,0,0,0,4.8,9.4,0.512,0.509,3.2,5,0.649,2.2,8,10.2,4.2,0.8,0.2,1.8,2.2,12.8
18,Michael Jordan*,SG,34,CHI,82,82,38.8,10.7,23.1,0.465,0.4,1.5,0.238,10.4,21.5,0.482,0.473,6.9,8.8,0.784,1.6,4.2,5.8,3.5,1.7,0.5,2.3,1.8,28.7
19,Mookie Blaylock,PG,30,ATL,70,69,38.6,5.3,13.4,0.392,1.3,4.8,0.269,4,8.6,0.46,0.44,1.4,1.9,0.709,1.2,3.7,4.9,6.7,2.6,0.3,2.5,1.7,13.2
20,Tom Gugliotta,SF,28,MIN,41,41,38.6,7.8,15.5,0.502,0,0.4,0.118,7.7,15.1,0.513,0.504,4.5,5.4,0.821,2.6,6.1,8.7,4.1,1.5,0.5,2.7,2.5,20.1
21,Jim Jackson,SG,27,TOT,79,78,38.6,6,14,0.43,0.8,2.4,0.319,5.3,11.6,0.453,0.458,2.9,3.6,0.812,1.6,3.4,5.1,4.8,1,0.1,3.3,2.4,15.7
22,Gary Payton*,PG,29,SEA,82,82,38.4,7.1,15.6,0.453,1.6,4.8,0.338,5.4,10.7,0.505,0.505,3.4,4.6,0.744,0.9,3.6,4.6,8.3,2.3,0.2,2.8,2.4,19.2
23,Jason Kidd*,PG,24,PHO,82,82,38,4.4,10.5,0.416,0.9,2.8,0.313,3.5,7.6,0.454,0.458,2,2.5,0.799,1.3,4.9,6.2,9.1,2,0.3,3.2,1.7,11.6
24,Stephon Marbury,PG,20,MIN,82,81,38,6.3,15.1,0.415,1.2,3.7,0.313,5.1,11.4,0.448,0.453,4,5.5,0.731,0.7,2.1,2.8,8.6,1.3,0.1,3.1,2.7,17.7
25,Doug Christie,SG,27,TOR,78,78,37.7,5.9,13.7,0.428,1.3,3.9,0.326,4.6,9.8,0.469,0.474,3.5,4.2,0.829,1.2,4,5.2,3.6,2.4,0.7,2.9,2.5,16.5
26,Isaiah Rider,SG,26,POR,74,66,37.6,7.4,17.6,0.423,1.8,5.7,0.321,5.6,11.9,0.472,0.475,3,3.6,0.828,1.3,3.3,4.7,3.1,0.7,0.3,2.5,2.5,19.7
27,Rasheed Wallace,PF,23,POR,77,77,37.6,6.1,11.4,0.533,0.1,0.5,0.205,5.9,10.9,0.548,0.537,2.4,3.6,0.662,1.7,4.5,6.2,2.5,1,1.1,2.2,3.5,14.6
28,Scottie Pippen*,SF,32,CHI,44,44,37.5,7.2,16,0.447,1.4,4.4,0.318,5.8,11.6,0.496,0.491,3.4,4.4,0.777,1.2,4,5.2,5.8,1.8,1,2.5,2.6,19.1
29,Keith Van Horn,PF,22,NJN,62,62,37.5,7.2,16.9,0.426,1.1,3.6,0.308,6.1,13.3,0.458,0.459,4.2,4.9,0.846,2.3,4.3,6.6,1.7,1,0.4,2.6,3.5,19.7
30,Tim Hardaway*,PG,31,MIA,81,81,37.4,6.9,16,0.431,1.9,5.5,0.351,5,10.5,0.472,0.49,3.2,4.1,0.781,0.6,3.1,3.7,8.3,1.7,0.2,2.8,2.5,18.9
31,Karl Malone*,PF,34,UTA,81,81,37.4,9.6,18.2,0.53,0,0.1,0.333,9.6,18.1,0.531,0.531,7.8,10.2,0.761,2.3,8,10.3,3.9,1.2,0.9,3,2.9,27
32,Horace Grant,C,32,ORL,76,76,36.9,5.2,11.3,0.459,0,0.1,0,5.2,11.2,0.462,0.459,1.8,2.6,0.678,3,5.1,8.1,2.3,1.1,1,1.2,2.4,12.1
33,Mitch Richmond*,SG,32,SAC,70,70,36.7,7.8,17.4,0.445,1.9,4.8,0.389,5.9,12.7,0.466,0.498,5.8,6.7,0.864,0.7,2.6,3.3,4,1.3,0.2,2.6,2.2,23.2
34,Kerry Kittles,SG,23,NJN,77,76,36.5,6.6,15,0.44,1.4,3.4,0.418,5.2,11.6,0.447,0.488,2.6,3.2,0.808,1.7,3,4.7,2.3,1.7,0.5,1.4,2,17.2
35,Eddie Jones,SG,26,LAL,80,80,36.4,6.1,12.6,0.484,1.8,4.6,0.389,4.3,8,0.538,0.555,2.9,3.8,0.765,1.1,2.7,3.8,3.1,2,0.7,1.8,2.1,16.9
36,Shaquille O'Neal*,C,25,LAL,60,57,36.3,11.2,19.1,0.584,0,0,,11.2,19.1,0.584,0.584,6,11.4,0.527,3.5,7.9,11.4,2.4,0.7,2.4,2.9,3.2,28.3
37,Eric Williams,SF,25,DEN,4,4,36.3,6,15.3,0.393,0,0,,6,15.3,0.393,0.393,7.8,11.3,0.689,2.5,2.8,5.3,3,1,0,2.3,2.3,19.8
38,Derrick Coleman,PF,30,PHI,59,58,36.2,6,14.7,0.411,0.4,1.7,0.265,5.6,13,0.429,0.426,5.1,6.6,0.772,2.5,7.4,9.9,2.5,0.8,1.2,2.7,2.4,17.6
39,Tyrone Hill,PF,29,MIL,57,56,36.2,3.6,7.3,0.498,0,0,0,3.6,7.3,0.499,0.498,2.7,4.5,0.608,3.7,6.9,10.7,1.5,1.2,0.5,1.9,4,10
40,Shareef Abdur-Rahim,SF,21,VAN,82,82,36,8,16.4,0.485,0.3,0.6,0.412,7.7,15.8,0.488,0.493,6.1,7.8,0.784,2.8,4.3,7.1,2.6,1.1,0.9,3.1,2.5,22.3
41,Jamal Mashburn,SF,25,MIA,48,48,36,5.2,12,0.435,0.8,2.5,0.303,4.5,9.5,0.47,0.467,3.8,4.8,0.797,1.5,3.4,4.9,2.8,0.9,0.3,2.3,2.9,15.1
42,Bo Outlaw,PF,26,ORL,82,76,36,3.7,6.6,0.554,0,0,0.25,3.7,6.6,0.557,0.555,2.2,3.8,0.575,3.1,4.7,7.8,2.6,1.3,2.2,2.1,3.2,9.5
43,Jayson Williams,C,29,NJN,65,65,36,4.9,9.9,0.498,0,0.1,0,4.9,9.9,0.501,0.498,3,4.5,0.666,6.8,6.8,13.6,1,0.7,0.8,1.5,3.6,12.9
44,Vin Baker,C,26,SEA,82,82,35.9,7.7,14.2,0.542,0,0.1,0.143,7.7,14.1,0.545,0.543,3.8,6.4,0.591,3.5,4.5,8,1.9,1.1,1,2.1,3.4,19.2
45,Donyell Marshall,SF,24,GSW,73,73,35.8,6.2,14.9,0.414,0.9,2.8,0.313,5.3,12.2,0.436,0.443,2.2,3,0.731,2.9,5.7,8.6,2.2,1.3,1,2,3.1,15.4
46,Terrell Brandon,PG,27,MIL,50,48,35.7,6.8,14.6,0.464,0.6,1.9,0.333,6.2,12.8,0.483,0.485,2.6,3.1,0.846,0.5,3.1,3.5,7.7,2.2,0.3,2.9,2.4,16.8
47,Avery Johnson,PG,32,SAS,75,73,35.7,4.3,8.9,0.478,0,0.2,0.154,4.3,8.8,0.485,0.48,1.6,2.2,0.726,0.4,1.6,2,7.9,1.1,0.2,2.2,1.9,10.2
48,Dennis Rodman*,PF,36,CHI,80,66,35.7,1.9,4.5,0.431,0.1,0.3,0.174,1.9,4.2,0.448,0.436,0.8,1.4,0.55,5.3,9.8,15,2.9,0.6,0.2,1.8,3,4.7
49,Corliss Williamson,SF,24,SAC,79,75,35.7,7.1,14.4,0.495,0,0.1,0,7.1,14.2,0.499,0.495,3.5,5.6,0.63,2.1,3.6,5.6,2.9,1,0.6,2.5,3.2,17.7
50,Dikembe Mutombo*,C,31,ATL,82,82,35.6,4.9,9.1,0.537,0,0,,4.9,9.1,0.537,0.537,3.7,5.5,0.67,3.4,8,11.4,1,0.4,3.4,2,3.1,13.4
51,Clyde Drexler*,SG,35,HOU,70,70,35.3,6.5,15.1,0.427,1.5,4.8,0.317,4.9,10.4,0.477,0.477,4,4.9,0.801,1.5,3.4,4.9,5.5,1.8,0.6,2.7,2.8,18.4
52,Lindsey Hunter,PG,27,DET,71,67,35.3,4.5,11.6,0.383,1.2,3.7,0.321,3.3,7.9,0.412,0.434,2,2.8,0.74,0.9,2.6,3.5,3.2,1.7,0.1,1.5,2.5,12.1
53,Detlef Schrempf,SF,35,SEA,78,78,35.2,5.6,11.5,0.487,0.8,1.9,0.415,4.8,9.6,0.501,0.521,3.8,4.5,0.844,1.7,5.4,7.1,4.4,0.8,0.2,2.2,2.6,15.8
54,David Wesley,PG,27,CHH,81,81,35.1,4.7,10.7,0.443,0.7,2.1,0.347,4,8.6,0.467,0.477,2.8,3.6,0.795,0.6,2,2.6,6.5,1.7,0.4,2.8,2.8,13
55,Sam Cassell,PG,28,NJN,75,72,34.7,6.8,15.4,0.441,0.2,1.1,0.188,6.6,14.3,0.46,0.448,5.8,6.8,0.86,1,2.1,3,8,1.6,0.3,3.6,3.5,19.6
56,Allan Houston,SG,26,NYK,82,82,34.7,7,15.6,0.447,1,2.6,0.385,6,13,0.46,0.479,3.5,4.1,0.851,0.5,2.8,3.3,2.6,0.8,0.3,2.4,2.5,18.4
57,Hakeem Olajuwon*,C,35,HOU,47,45,34.7,6.5,13.5,0.483,0,0.1,0,6.5,13.4,0.486,0.483,3.4,4.5,0.755,2.5,7.3,9.8,3,1.8,2,2.7,3.2,16.4
58,Calbert Cheaney,SG,26,WAS,82,82,34.6,5.5,12,0.457,0.2,0.6,0.283,5.3,11.3,0.467,0.464,1.7,2.6,0.647,1,3,4,2.1,1.2,0.4,1.3,3.2,12.8
59,Shawn Kemp,PF,28,CLE,80,80,34.6,6.5,14.6,0.445,0,0.1,0.25,6.5,14.5,0.446,0.446,5.1,7,0.727,2.7,6.6,9.3,2.5,1.4,1.1,3.4,3.9,18
