Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Moses Malone*,C,26,HOU,81,81,42,11.7,22.5,0.519,0,0.1,0,11.7,22.4,0.52,0.519,7.8,10.2,0.762,6.9,7.8,14.7,1.8,0.9,1.5,3.6,2.6,31.1
2,Adrian Dantley*,SF,26,UTA,81,81,39.8,11.2,19.6,0.57,0,0,0.333,11.1,19.5,0.57,0.57,8,10.1,0.792,2.9,3.5,6.3,4,1.2,0.2,3.7,3.1,30.3
3,Mychal Thompson,C,27,POR,79,78,39.6,8.6,16.5,0.523,0,0,,8.6,16.5,0.523,0.523,3.5,5.6,0.628,3.3,8.4,11.7,4,0.9,1.4,3.1,2.9,20.8
4,Magic Johnson*,SG,22,LAL,78,77,38.3,7.1,13.3,0.537,0.1,0.4,0.207,7.1,12.9,0.546,0.54,4.2,5.6,0.76,3.2,6.4,9.6,9.5,2.7,0.4,3.7,2.9,18.6
5,Larry Bird*,PF,25,BOS,77,58,38,9.2,18.4,0.503,0.1,0.7,0.212,9.1,17.7,0.514,0.507,4.3,4.9,0.863,2.6,8.3,10.9,5.8,1.9,0.9,3.3,3.2,22.9
6,Robert Reid,SF,26,HOU,77,75,37.8,5.7,12.4,0.456,0,0.1,0.1,5.7,12.3,0.46,0.457,2.1,2.8,0.748,2.3,4.4,6.6,4.1,1.5,0.6,2,3.9,13.4
7,Kelly Tripucka,SF,22,DET,82,82,37.5,7.8,15.6,0.496,0.1,0.3,0.227,7.7,15.4,0.501,0.498,6,7.6,0.797,2.7,2.7,5.4,3.3,1.1,0.2,3.4,2.9,21.6
8,Greg Ballard,SF,27,WSB,79,79,37.3,7.9,16.5,0.475,0.1,0.3,0.409,7.7,16.3,0.476,0.479,3,3.6,0.83,1.7,6.3,8,3.2,1.7,0.3,1.5,2.6,18.8
9,Sidney Moncrief*,SG,24,MIL,80,80,37.3,7,13.3,0.523,0,0.2,0.071,6.9,13.1,0.529,0.524,5.9,7.2,0.817,2.8,3.9,6.7,4.8,1.7,0.3,2.6,2.6,19.8
10,Jack Sikma*,C,26,SEA,82,82,37.2,7.1,14.8,0.479,0,0.2,0.154,7.1,14.6,0.483,0.48,5.5,6.4,0.855,2.7,9.9,12.7,3.4,1.2,1.3,2.6,3.3,19.6
11,Micheal Ray Richardson,PG,26,NYK,82,79,37.1,7.5,16.4,0.461,0.2,1.2,0.188,7.3,15.1,0.483,0.468,2.6,3.7,0.7,2.2,4.7,6.9,7,2.6,0.5,3.5,3.9,17.9
12,Truck Robinson,PF,30,PHO,74,72,37.1,7.8,15.2,0.513,0,0,1,7.8,15.2,0.513,0.514,3.4,5,0.687,2.7,7,9.7,2.4,0.6,0.4,2.7,2.9,19.1
13,Elvin Hayes*,PF,36,HOU,82,82,37,6.3,13.4,0.472,0,0.1,0,6.3,13.4,0.474,0.472,3.4,5.1,0.664,3.3,5.9,9.1,1.8,0.8,1.3,2.5,3.5,16.1
